	Query
1238	K16078
1239	PF01389.12
1240	K02557
1241	K16191
1242	K12216
1243	PF01617.12
1244	K07275
1245	K10936
1246	PF05736.6
1247	PF07239.6
1248	PF03797.14
1249	K12678
1250	K12680
1251	K12679
1252	K07279
1253	K12681
1254	K12682
1255	K12684
1256	K12683
1257	K12686
1258	TIGR01414
1259	PF04335.8
1260	K03203
1261	K12081
1262	K12095
1263	PF06188.7
1264	K01879
1265	PF13229.1
1266	K01347
1267	3.4.21.72-RXN
1268	3.4.21.72
1269	TIGR01376
1270	K12687
1271	K12685
1272	K12688
1273	K11568
1274	PF12334.3
1275	PF02691.10
1276	K03162
1277	PF13144.1
1278	K02386
1279	TIGR03170
1280	TIGR03177
1281	PF04886.7
1282	K16087
1283	TIGR01785
1284	TIGR01776
1285	K16152
1286	K13836
1287	PF04101.11
1288	PF13528.1
1289	K02563
1290	2.4.1.227
1291	3.6.1.57
1292	TIGR03590
1293	K11055
1294	PF03433.8
1295	K15344
1296	PF02205.15
1297	PF06346.7
1298	PF09424.5
1299	K09117
1300	K02461
1301	PF10741.4
1302	PHOSPHOLIPASE-A1-RXN
1303	K03760
1304	K01002
1305	K11042
1306	PF00577.15
1307	K07354
1308	K12518
1309	PF00165.18
1310	K10778
1311	K13652
1312	K13632
1313	K02099
1314	K02508
1315	K02854
1316	K02855
1317	K06599
1318	K12243
1319	K05372
1320	K13653
1321	K03755
1322	K05804
1323	K14063
1324	K10923
1325	1.14.13.59-RXN
1326	PF05802.6
1327	K15346
1328	K15903
1329	K11005
1330	K06237
1331	K08131
1332	K12544
1333	K11029
1334	3.4.24.40
1335	PF01755.12
1336	K07270
1337	PF04932.10
1338	PF01203.14
1339	K02463
1340	K13953
1341	K00148
1342	TIGR03989
1343	TIGR01751
1344	K16023
1345	PF01032.13
1346	K02075
1347	TIGR04011
1348	PF13326.1
1349	PF01289.14
1350	K11031
1351	PF03495.9
1352	K11030
1353	K08599
1354	PF11996.3
1355	PF04183.7
1356	K03894
1357	K03895
1358	6.3.2.39
1359	6.3.2.38
1360	PF05130.7
1361	K02399
1362	PF14393.1
1363	PF01501.15
1364	K03276
1365	K03278
1366	K03279
1367	K00750
1368	PF11051.3
1369	K12107
1370	PF01298.13
1371	PF03567.9
1372	PF04185.9
1373	PHOSPHOLIPASE-C-RXN
1374	3.1.4.3
1375	TIGR03396
1376	PF07271.6
1377	PF05220.7
1378	TIGR03839
1379	PF11104.3
1380	K03569
1381	K03590
1382	TIGR00904
1383	TIGR01174
1384	TIGR01175
1385	K12279
1386	PF02876.12
1387	PF03642.8
1388	K11040
1389	K11043
1390	K14204
1391	K12515
1392	PF13400.1
1393	PF02668.11
1394	K03119
1395	PF00657.17
1396	K15349
1397	K11018
1398	PF02597.15
1399	K01139
1400	K00951
1401	K07816
1402	K03154
1403	PPGPPSYN-RXN
1404	2.7.6.5
1405	TIGR00691
1406	K13790
1407	PF00410.14
1408	PF00620.22
1409	PF13600.1
1410	PF11047.3
1411	K13739
1412	PF03372.18
1413	K01106
1414	TIGR03395
1415	K11014
1416	K01142
1417	3.1.11.2-RXN
1418	K07341
1419	PF04956.8
1420	K03197
1421	K12078
1422	PF03724.11
1423	K03668
1424	PF02918.10
1425	K11024
1426	K11025
1427	PF09025.5
1428	K04052
1429	TIGR02509
1430	PF05591.7
1431	K11901
1432	TIGR03358
1433	PF02575.11
1434	PF01943.12
1435	PF13440.1
1436	K06409
1437	PF08238.7
1438	K15475
1439	K15474
1440	K14026
1441	PF09613.5
1442	TIGR02561
1443	K03528
1444	K14650
1445	PF06416.7
1446	PF13574.1
1447	PF01478.13
1448	K02464
1449	K02654
1450	K10966
1451	K02506
1452	3.4.23.43
1453	PF08764.5
1454	K14200
1455	PF01244.16
1456	PF03102.9
1457	K15898
1458	2.5.1.101
1459	2.5.1.97
1460	TIGR03569
1461	TIGR03586
1462	PF04610.9
1463	K03201
1464	K12084
1465	K07344
1466	PF04316.8
1467	K02398
1468	TIGR03824
1469	PF01312.14
1470	K03229
1471	K02401
1472	K13820
1473	K04061
1474	TIGR01404
1475	TIGR00328
1476	TIGR00789
1477	PF05546.6
1478	PF08450.7
1479	TIGR03866
1480	K03896
1481	2.3.1.102
1482	PF08988.5
1483	K04050
1484	TIGR02501
1485	PF00419.15
1486	K12517
1487	K07348
1488	K07352
1489	K07351
1490	K12523
1491	K07349
1492	K07355
1493	K12521
1494	K12520
1495	K07350
1496	K07356
1497	PF09160.5
1498	PF05229.10
1499	PF06128.6
1500	PF09785.4
1501	PF10997.3
1502	PF01474.11
1503	TIGR01358
1504	K03195
1505	K06236
1506	PF07487.8
1507	K13741
1508	PF01734.17
1509	K06900
1510	K15477
1511	PF01311.15
1512	K03228
1513	K02421
1514	TIGR01401
1515	TIGR01400
1516	K02799
1517	K03118
1518	PF01313.14
1519	K02420
1520	K03227
1521	TIGR01403
1522	TIGR01402
1523	PF13605.1
1524	TIGR02791
1525	PF00482.18
1526	K02653
1527	K02505
1528	K02455
1529	K12278
1530	K10934
1531	TIGR02120
1532	PF01973.13
1533	K12247
1534	PF00813.15
1535	K03226
1536	K02419
1537	TIGR01102
1538	PF05372.6
1539	K11039
1540	PF07373.6
1541	K11045
1542	PF11966.3
1543	PF04989.7
1544	PF05377.6
1545	PF05050.7
1546	K00595
1547	PF03347.8
1548	K11019
1549	PF13485.1
1550	3.4.24.3-RXN
1551	PF01856.12
1552	K15848
1553	K15845
1554	K15847
1555	K15843
1556	K15844
1557	PF06622.6
1558	K03225
1559	PF01052.15
1560	K02416
1561	K02417
1562	TIGR02480
1563	TIGR02551
1564	TIGR01397
1565	PF08660.6
1566	K07276
1567	PF02811.14
1568	K07053
1569	K02847
1570	MANNPGUANYLTRANGDP-RXN
1571	PF05547.6
1572	PF09471.5
1573	PF05936.7
1574	K11893
1575	TIGR03353
1576	K09997
1577	K10039
1578	K02424
1579	K13243
1580	PF03781.11
1581	PF11439.3
1582	PF02338.14
1583	PF02698.12
1584	PF06580.8
1585	K08082
1586	PF00765.12
1587	K13061
1588	K13060
1589	PF04954.8
1590	PF02743.13
1591	PF07419.7
1592	PF03572.13
1593	K03797
1594	3.4.21.102
1595	PF00771.15
1596	K02400
1597	K03230
1598	TIGR01399
1599	TIGR01398
1600	PF05704.7
1601	PF02534.9
1602	K03205
1603	K12090
1604	TIGR02767
1605	K12217
1606	PF05932.8
1607	K04049
1608	TIGR02513
1609	TIGR02503
1610	PF09392.5
1611	K04053
1612	TIGR02497
1613	TIGR02105
1614	K03221
1615	PF03498.9
1616	K11015
1617	K11013
1618	PF14200.1
1619	PF10610.4
1620	K04336
1621	PF07811.7
1622	K12513
1623	PF04964.9
1624	PF07321.7
1625	K04056
1626	PF02050.11
1627	TIGR02559
1628	PF04619.7
1629	PF03333.8
1630	PF13994.1
1631	PF03621.8
1632	K05375
1633	K16227
1634	PF09599.5
1635	K13286
1636	PF09264.5
1637	K01186
1638	3.2.1.18-RXN
1639	K04524
1640	K08757
1641	PF05400.8
1642	K02423
1643	K06604
1644	PF08794.5
1645	PF03631.10
1646	TIGR00765
1647	PF06366.8
1648	K03516
1649	PF05721.8
1650	TIGR01762
1651	PF02794.11
1652	K07389
1653	PF05844.7
1654	PF10574.4
1655	PF09052.5
1656	K13284
1657	PF07603.6
1658	PF06578.7
1659	K04054
1660	PF09482.5
1661	TIGR02555
1662	PF12277.3
1663	PF04792.7
1664	PF07395.6
1665	PF12892.2
1666	TIGR03786
1667	PF03421.11
1668	K08598
1669	K13478
1670	PF03992.11
1671	1.14.99.48
1672	PF03536.10
1673	K13450
1674	PF09480.5
1675	TIGR02554
1676	PF02917.9
1677	K11023
1678	K07218
1679	5.1.3.-
1680	K13925
1681	PF05134.8
1682	PF12693.2
1683	K11032
1684	K10948
1685	TIGR01002
1686	PF02049.13
1687	K02408
1688	TIGR00205
1689	PF03504.8
1690	PF03497.11
1691	PF03646.10
1692	K06603
1693	PF09474.5
1694	TIGR02502
1695	PF05302.6
1696	PF00267.16
1697	K08720
1698	K14062
1699	K09475
1700	K16076
1701	PF01950.11
1702	PF11186.3
1703	PF05593.9
1704	K11021
1705	PF06864.7
1706	PF05947.7
1707	K11896
1708	TIGR03359
1709	K12790
1710	K13735
1711	PF00630.14
1712	PF05925.7
1713	PF04166.7
1714	K00097
1715	1.1.1.262
1716	TIGR00557
1717	PF07201.6
1718	K04058
1719	TIGR02568
