	0
1149	K09117
1150	K02663
1151	K02461
1152	K12280
1153	PF10741.4
1154	K03760
1155	K01002
1156	PF07906.8
1157	PF00577.15
1158	K07354
1159	K12518
1160	PF00165.18
1161	K10778
1162	K13652
1163	K13632
1164	K02099
1165	K02508
1166	K02854
1167	K02855
1168	K06599
1169	K12243
1170	K05372
1171	K13653
1172	K03755
1173	K05804
1174	K14063
1175	K10923
1176	1.14.13.59-RXN
1177	PF05802.6
1178	K15346
1179	K15903
1180	K11005
1181	K06237
1182	K11029
1183	3.4.24.40
1184	PF01755.12
1185	K07270
1186	PF04932.10
1187	PF01203.14
1188	K02463
1189	K13953
1190	K00148
1191	TIGR03989
1192	TIGR01751
1193	K16023
1194	PF01032.13
1195	K02075
1196	TIGR04011
1197	PF01289.14
1198	K11031
1199	PF03495.9
1200	K11030
1201	PF03543.9
1202	K08599
1203	TIGR01586
1204	PF11996.3
1205	PF04183.7
1206	K03894
1207	K03895
1208	6.3.2.39
1209	6.3.2.38
1210	PF05130.7
1211	K02399
1212	PF14393.1
1213	PF01501.15
1214	K03276
1215	K03278
1216	K03279
1217	K00750
1218	PF11051.3
1219	K12107
1220	PF01298.13
1221	PF03567.9
1222	PF04185.9
1223	PHOSPHOLIPASE-C-RXN
1224	3.1.4.3
1225	TIGR03396
1226	PF07271.6
1227	PF05220.7
1228	TIGR03839
1229	PF11104.3
1230	K03569
1231	K03590
1232	TIGR01174
1233	TIGR01175
1234	K12279
1235	PF02876.12
1236	K11040
1237	K11042
1238	K11043
1239	PF03642.8
1240	K14204
1241	K12515
1242	PF13400.1
1243	PF02668.11
1244	K03119
1245	PF00657.17
1246	K15349
1247	K11018
1248	K13790
1249	PF00410.14
1250	PF00620.22
1251	PF13600.1
1252	PF11047.3
1253	K13739
1254	PF03372.18
1255	K01106
1256	TIGR03395
1257	K11014
1258	K01142
1259	3.1.11.2-RXN
1260	K07341
1261	PF04956.8
1262	K03197
1263	K12078
1264	PF03724.11
1265	K03668
1266	PF02918.10
1267	K11024
1268	K11025
1269	PF09025.5
1270	K04052
1271	TIGR02509
1272	PF05591.7
1273	K11901
1274	TIGR03358
1275	PF02575.11
1276	PF01943.12
1277	PF13440.1
1278	K06409
1279	PF08238.7
1280	K15475
1281	K15474
1282	K14026
1283	PF09613.5
1284	TIGR02561
1285	K03528
1286	K14650
1287	PF06416.7
1288	PF13574.1
1289	K12544
1290	PF01478.13
1291	K02464
1292	K02654
1293	K10966
1294	K02506
1295	3.4.23.43
1296	PF01468.12
1297	PF08764.5
1298	K14200
1299	PF01244.16
1300	PF03102.9
1301	K15898
1302	2.5.1.101
1303	2.5.1.97
1304	TIGR03569
1305	TIGR03586
1306	PF04610.9
1307	K03201
1308	K12084
1309	K07344
1310	PF04316.8
1311	K02398
1312	TIGR03824
1313	PF01312.14
1314	K03229
1315	K02401
1316	K13820
1317	K04061
1318	TIGR01404
1319	TIGR00328
1320	TIGR00789
1321	PF05546.6
1322	PF08450.7
1323	K03896
1324	2.3.1.102
1325	PF08988.5
1326	K04050
1327	TIGR02501
1328	PF00419.15
1329	K12517
1330	K07348
1331	K07352
1332	K07351
1333	K07349
1334	K07355
1335	K12523
1336	K12521
1337	K12520
1338	K07350
1339	K07356
1340	PF09160.5
1341	PF05229.10
1342	PF06128.6
1343	PF10997.3
1344	PF01474.11
1345	TIGR01358
1346	K03195
1347	K06236
1348	PF07487.8
1349	K13741
1350	PF01734.17
1351	K15477
1352	K06900
1353	PF01311.15
1354	K03228
1355	K02421
1356	TIGR01401
1357	TIGR01400
1358	K02799
1359	K03118
1360	PF01313.14
1361	K02420
1362	K03227
1363	TIGR01403
1364	TIGR01402
1365	PF13605.1
1366	TIGR02791
1367	PF00482.18
1368	K02653
1369	K02505
1370	K02455
1371	K12278
1372	K10934
1373	TIGR02120
1374	PF01973.13
1375	PF00813.15
1376	K03226
1377	K02419
1378	TIGR01102
1379	PF05372.6
1380	K11039
1381	PF07373.6
1382	K11045
1383	PF11966.3
1384	PF04989.7
1385	PF05377.6
1386	PF05050.7
1387	K00595
1388	PF03347.8
1389	K11019
1390	PF13485.1
1391	3.4.24.3-RXN
1392	PF01856.12
1393	K15848
1394	K15845
1395	K15847
1396	K15843
1397	K15844
1398	PF06622.6
1399	K03225
1400	PF01052.15
1401	K02416
1402	K02417
1403	TIGR02480
1404	TIGR02551
1405	TIGR01397
1406	PF08660.6
1407	K07276
1408	PF02811.14
1409	K07053
1410	K02847
1411	PF07883.6
1412	MANNPGUANYLTRANGDP-RXN
1413	PF05547.6
1414	PF09471.5
1415	PF05936.7
1416	K11893
1417	TIGR03353
1418	K09997
1419	K10039
1420	K02424
1421	K13243
1422	PF03781.11
1423	PF11439.3
1424	PF02698.12
1425	PF06580.8
1426	K08082
1427	PF00765.12
1428	K13061
1429	K13060
1430	PF04954.8
1431	PF02743.13
1432	PF07419.7
1433	PF03572.13
1434	K03797
1435	3.4.21.102
1436	PF00771.15
1437	K02400
1438	K03230
1439	TIGR01399
1440	TIGR01398
1441	PF05704.7
1442	PF02534.9
1443	K03205
1444	K12090
1445	TIGR02767
1446	K12217
1447	PF05932.8
1448	K04049
1449	TIGR02513
1450	TIGR02503
1451	PF09392.5
1452	K04053
1453	TIGR02497
1454	TIGR02105
1455	K03221
1456	PF03498.9
1457	K11015
1458	K11013
1459	PF14200.1
1460	K13714
1461	PF10610.4
1462	K04336
1463	PF07811.7
1464	K12513
1465	PF04964.9
1466	PF07321.7
1467	K04056
1468	PF02050.11
1469	TIGR02559
1470	PF04619.7
1471	PF03333.8
1472	PF13994.1
1473	PF03621.8
1474	K05375
1475	K16227
1476	PF09599.5
1477	K13286
1478	PF09264.5
1479	K01186
1480	3.2.1.18-RXN
1481	PF01442.13
1482	PF05400.8
1483	K02423
1484	K06604
1485	PF08794.5
1486	PF03631.10
1487	TIGR00765
1488	PF06366.8
1489	K03516
1490	PF05721.8
1491	TIGR01762
1492	PF02794.11
1493	K07389
1494	PF05844.7
1495	PF09052.5
1496	K13284
1497	PF06578.7
1498	K04054
1499	PF09482.5
1500	TIGR02555
1501	PF12277.3
1502	PF04792.7
1503	PF07395.6
1504	PF12892.2
1505	TIGR03786
1506	PF03421.11
1507	K08598
1508	K13478
1509	PF03992.11
1510	1.14.99.48
1511	PF03536.10
1512	K13450
1513	PF09480.5
1514	TIGR02554
1515	PF02917.9
1516	K11023
1517	PF13229.1
1518	K07218
1519	5.1.3.-
1520	PF05134.8
1521	PF12693.2
1522	PF02049.13
1523	K02408
1524	TIGR00205
1525	PF03504.8
1526	PF03497.11
1527	PF03646.10
1528	K06603
1529	PF09474.5
1530	TIGR02502
1531	PF05302.6
